,carName,carCompany,carAge,carGear,carPrice,carMile,carLocationCity,carLocationState,carColorEx,carColorIn,carAccident,carOwner,carUsage,currentTime,currentDay
10050,Ford F-150,Ford,2018,King Ranch SuperCrew 5.5' Box 4WD,"39,991","56,369",Dallas, TX,Gray,Gray,0,1,Personal,00:02:10,"2021,11,02"
10051,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"35,964","45,656",Cornelius, NC,Gray,Unknown,0,2,Personal,00:02:10,"2021,11,02"
10052,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"25,900","125,276",Lewisville, TX,White,Unknown,0,1,Personal,00:02:10,"2021,11,02"
10053,Kia Soul,Kia,2020,LX IVT,"17,995","28,205",Daytona Beach, FL,Black,Black,0,1,Personal,00:02:10,"2021,11,02"
10054,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"32,277","90,055",Missoula, MT,White,Unknown,0,1,Personal,00:02:10,"2021,11,02"
10055,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"35,995","53,363",Rugby, ND,White,Unknown,0,3,Personal,00:02:10,"2021,11,02"
10056,Nissan Sentra,Nissan,2018,SV CVT,"9,999","79,850",Inwood, NY,Gray,Black,0,1,Personal,00:02:13,"2021,11,02"
10057,Buick Encore,Buick,2019,Preferred FWD,"15,500","56,973",Houston, TX,Silver,Gray,1,3,Fleet,00:02:13,"2021,11,02"
10058,Chevrolet Malibu,Chevrolet,2018,LT with 1LT,"20,000","33,342",San Diego, CA,White,Black,0,2,Personal,00:02:13,"2021,11,02"
10059,Ford F-150,Ford,2019,XLT SuperCrew 5.5' Box 4WD,"30,000","97,484",Davenport, IA,White,Gray,0,1,Personal,00:02:13,"2021,11,02"
10060,GMC Terrain,GMC,2018,SLE FWD,"20,000","40,383",Temple, TX,Gray,Black,0,1,Personal,00:02:13,"2021,11,02"
10061,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"37,341","39,012",Fort Wayne, IN,White,Black,0,1,Personal,00:02:13,"2021,11,02"
10062,Honda Civic,Honda,2012,LX Sedan Automatic,"10,499","95,302",El Cajon, CA,Black,Gray,1,2,Personal,00:02:13,"2021,11,02"
10063,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,"29,992","52,841",Fairfield, CA,White,Black,0,1,Personal,00:02:13,"2021,11,02"
10064,Ford F-150,Ford,2019,XLT SuperCrew 5.5' Box 4WD,"39,898","21,387",Wood River, IL,White,Gray,0,1,Personal,00:02:13,"2021,11,02"
10065,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 2WD,"22,995","158,541",Grand Prairie, TX,White,Unknown,0,1,Fleet,00:02:13,"2021,11,02"
10066,Hyundai Elantra,Hyundai,2019,SEL 2.0L Automatic,"14,999","63,133",Ft. Myers, FL,Blue,Gray,0,2,Personal,00:02:13,"2021,11,02"
10067,Ram 1500,Ram,2019,"Big Horn/Lone Star Crew Cab 5'7"" Box 4WD","37,676","47,420",Fort Wayne, IN,White,Black,0,2,Personal,00:02:13,"2021,11,02"
10068,Ford F-150,Ford,2020,XLT SuperCrew 5.5' Box 4WD,"39,093","23,647",Vancouver, WA,Black,Unknown,0,1,Personal,00:02:13,"2021,11,02"
10069,Ram 1500,Ram,2019,"Big Horn/Lone Star Crew Cab 5'7"" Box 4WD","34,554","42,796",London, OH,Gray,Black,1,1,Personal,00:02:13,"2021,11,02"
10070,Ford F-150,Ford,2014,XLT Regular Cab 8.0' Box RWD,"15,751","110,056",Ocala, FL,White,Gray,0,2,Personal,00:02:13,"2021,11,02"
10071,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"38,995","28,178",Suffolk, VA,White,Gray,0,1,Personal,00:02:13,"2021,11,02"
10072,Nissan Sentra,Nissan,2019,SV CVT,"13,850","92,244",Costa Mesa, CA,White,Black,0,1,Personal,00:02:13,"2021,11,02"
10073,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"32,990","52,057",Fairfield, CA,Silver,Unknown,0,2,Personal,00:02:13,"2021,11,02"
10074,Chevrolet Cruze,Chevrolet,2018,LS with 1SB Sedan Automatic,"9,998","150,514",Lubbock, TX,Black,Black,0,1,Personal,00:02:13,"2021,11,02"
10075,Nissan Sentra,Nissan,2019,S CVT,"11,998","98,435",Roswell, GA,White,Black,0,2,Personal,00:02:13,"2021,11,02"
10076,Ford F-150,Ford,2016,XLT SuperCrew 5.5' Box 4WD,"30,977","63,776",Columbus, GA,Black,Unknown,0,1,Personal,00:02:13,"2021,11,02"
10077,Chevrolet Malibu,Chevrolet,2018,LT with 1LT,"17,900","28,284",Delray Beach, FL,White,Black,0,1,Personal,00:02:13,"2021,11,02"
10078,Nissan Altima,Nissan,2016,2.5 S,"13,495","78,544",Fresno, CA,Blue,Black,1,2,Fleet,00:02:13,"2021,11,02"
10079,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,"29,998","22,483",Santa Rosa, CA,White,Black,0,2,Personal,00:02:13,"2021,11,02"
10080,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"35,495","26,824",Quakertown, PA,Black,Black,0,1,Personal,00:02:13,"2021,11,02"
10081,Kia Forte,Kia,2017,LX Sedan Automatic,"9,994","91,472",Pasadena, TX,Black,Gray,0,1,Personal,00:02:13,"2021,11,02"
10082,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"35,070","37,264",Vancouver, WA,Blue,Unknown,0,1,Personal,00:02:13,"2021,11,02"
10083,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"33,136","62,813",Parkersburg, WV,Silver,Gray,0,1,Personal,00:02:13,"2021,11,02"
10084,Ford F-150,Ford,2018,XL SuperCrew 6.5' Box 4WD,"25,995","110,230",Austin, TX,White,Gray,0,1,Fleet,00:02:13,"2021,11,02"
10085,Ram 1500,Ram,2019,"Big Horn/Lone Star Crew Cab 5'7"" Box 4WD","38,995","30,667",Decatur, IN,Black,Black,0,1,Personal,00:02:13,"2021,11,02"
10086,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"33,184","53,356",Fort Wayne, IN,Black,Gray,0,1,Fleet,00:02:16,"2021,11,02"
10087,Toyota RAV4,Toyota,2018,XLE FWD,"21,998","70,780",Lexington, KY,White,Black,0,1,Personal,00:02:16,"2021,11,02"
10088,Nissan Rogue,Nissan,2018,SV AWD,"14,999","194,905",New Richmond, WI,White,Black,0,2,Personal,00:02:16,"2021,11,02"
10089,Chevrolet Malibu,Chevrolet,2018,LT with 1LT,"20,994","21,792",Easton, PA,Black,Black,0,1,Personal,00:02:16,"2021,11,02"
10090,Ford F-150,Ford,2018,Lariat SuperCrew 5.5' Box 2WD,"35,179","14,273",Thatcher, AZ,White,Unknown,0,1,Personal,00:02:16,"2021,11,02"
10091,Buick Encore,Buick,2019,Essence FWD,"19,998","22,568",Daytona Beach, FL,White,Black,0,1,Personal,00:02:16,"2021,11,02"
10092,Chevrolet Malibu,Chevrolet,2020,LT,"22,992","48,648",Fayetteville, NC,Silver,Black,1,1,Fleet,00:02:16,"2021,11,02"
10093,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"25,795","130,996",Raytown, MO,Black,Gray,2,1,Fleet,00:02:16,"2021,11,02"
10094,Ford F-150,Ford,2014,XL SuperCrew 5.5' Box 4WD,"19,995","103,834",Ventura, CA,White,Black,0,1,Fleet,00:02:16,"2021,11,02"
10095,Chevrolet Equinox,Chevrolet,2018,LT with 1LT FWD,"19,755","41,002",Lima, OH,Blue,Black,2,1,Personal,00:02:16,"2021,11,02"
10096,Ford F-150,Ford,2019,XLT SuperCrew 5.5' Box 4WD,"38,576","31,869",Michigan Center, MI,White,Beige,0,Personal,Personal,00:02:16,"2021,11,02"
10097,Jeep Cherokee,Jeep,2019,Latitude FWD,"16,900","74,564",El Paso, TX,Black,Black,0,2,Fleet,00:02:16,"2021,11,02"
10098,Ford F-150,Ford,2019,XLT SuperCrew 5.5' Box 4WD,"31,590","90,628",Nashville, TN,White,Gray,0,2,Personal,00:02:16,"2021,11,02"
10099,Kia Optima,Kia,2016,LX,"9,500","108,449",Houston, TX,Black,Black,0,3,Fleet,00:02:16,"2021,11,02"
10100,Ram 1500,Ram,2019,"Big Horn/Lone Star Crew Cab 5'7"" Box 4WD","40,888","23,150",Battle Creek, MI,Blue,Black,0,1,Personal,00:02:16,"2021,11,02"
10101,Chevrolet Silverado 1500,Chevrolet,2018,LT Crew Cab Short Box 4WD,"26,000","107,281",Cincinnati, OH,Red,Gray,0,2,Fleet,00:02:16,"2021,11,02"
10102,Jeep Cherokee,Jeep,2019,Limited 4WD,"28,033","49,238",Glen Mills, PA,Black,Black,0,2,Personal,00:02:16,"2021,11,02"
10103,Kia Forte,Kia,2019,LXS IVT,"17,799","21,027",Gainesville, FL,White,Black,0,3,Personal,00:02:16,"2021,11,02"
10104,Ford F-150,Ford,2019,Platinum SuperCrew 5.5' Box 4WD,"57,999","41,237",Oroville, CA,Gray,Black,0,2,Personal,00:02:16,"2021,11,02"
10105,Ford Super Duty F-250,Ford,2019,XLT 4WD Crew Cab 6.75' Box,"46,998","1,883",Ukiah, CA,Black,Unknown,1,1,Fleet,00:02:16,"2021,11,02"
10106,Toyota Corolla,Toyota,2020,LE CVT,"21,847","13,184",Milton, FL,Blue,Black,0,1,Personal,00:02:16,"2021,11,02"
10107,Ford F-150,Ford,2019,XLT SuperCrew 5.5' Box 4WD,"37,995","32,076",Burlington, WA,White,Gray,0,2,Personal,00:02:16,"2021,11,02"
10108,Nissan Rogue,Nissan,2018,SV AWD,"21,992","36,035",Wappingers Falls, NY,Black,Black,1,1,Personal,00:02:16,"2021,11,02"
10109,Ford Super Duty F-250,Ford,2019,Lariat 4WD Crew Cab 6.75' Box,"45,870","132,893",Frisco, TX,White,Black,0,1,Personal,00:02:16,"2021,11,02"
10110,Volkswagen Jetta,Volkswagen,2019,S Automatic,"17,638","33,749",Pleasanton, CA,White,Black,0,1,Personal,00:02:16,"2021,11,02"
10111,Ford Escape,Ford,2018,SE 4WD,"11,999","123,233",Circleville, OH,Black,Black,0,3,Fleet,00:02:16,"2021,11,02"
10112,Ford Edge,Ford,2018,SEL AWD,"19,995","95,132",West Seneca, NY,White,Black,1,1,Personal,00:02:16,"2021,11,02"
10113,Nissan Altima,Nissan,2015,2.5 S,"11,990","70,592",Blue Mound, TX,White,Black,0,3,Personal,00:02:16,"2021,11,02"
10114,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"38,996","11,215",Hicksville, OH,Black,Gray,0,1,Personal,00:02:16,"2021,11,02"
10115,Ford Edge,Ford,2020,SEL FWD,"26,421","41,173",Columbus, TX,Black,Black,0,2,Fleet,00:02:16,"2021,11,02"
10116,Ford Super Duty F-350,Ford,2019,XL 4WD Crew Cab 6.75' Box SRW,"39,900","93,746",Abilene, TX,White,Gray,1,1,Personal,00:02:18,"2021,11,02"
10117,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,"36,999","29,990",Festus, MO,Black,Black,0,1,Personal,00:02:18,"2021,11,02"
10118,Nissan Rogue,Nissan,2019,SV FWD,"19,765","60,365",El Paso, TX,Black,Black,1,2,Personal,00:02:18,"2021,11,02"
10119,Toyota Corolla,Toyota,2019,LE CVT,"18,485","29,560",Pembroke Pines, FL,White,Gray,0,1,Personal,00:02:18,"2021,11,02"
10120,Ford F-150,Ford,2018,XL SuperCrew 5.5' Box 2WD,"28,998","32,126",Puyallup, WA,Silver,Gray,0,2,Personal,00:02:18,"2021,11,02"
10121,Ford F-150,Ford,2018,Platinum SuperCrew 5.5' Box 4WD,"46,451","32,560",Malvern, AR,Red,Black,0,2,Personal,00:02:18,"2021,11,02"
10122,Jeep Cherokee,Jeep,2019,Limited 4WD,"26,999","35,418",Brooklyn Center, MN,White,Black,0,1,Personal,00:02:18,"2021,11,02"
10123,Ford Super Duty F-250,Ford,2017,King Ranch Crew Cab 6.75' Bed 4WD,"39,990","158,091",Weatherford, TX,Black,Brown,0,2,Personal,00:02:18,"2021,11,02"
10124,Ram 1500,Ram,2019,"Big Horn/Lone Star Crew Cab 5'7"" Box 4WD","36,995","11,542",Sterling Heights, MI,Silver,Black,0,1,Personal,00:02:18,"2021,11,02"
10125,INFINITI QX60,INFINITI,2018,3.5 AWD,"23,452","54,799",Freeport, NY,White,Gray,1,1,Personal,00:02:18,"2021,11,02"
