,carName,carCompany,carAge,carGear,carPrice,carMile,carLocationCity,carLocationState,carColorEx,carColorIn,carAccident,carOwner,carUsage,currentTime,currentDay
10009,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,30195,79921,Little Rock, AR,Silver,Beige,0,2,Personal,15:13:34,"2021,11,04"
10010,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,35000,20152,Kansas City, MO,White,Gray,0,1,Personal,15:13:34,"2021,11,04"
10011,Ford Super Duty F-250,Ford,2019,XL 4WD Crew Cab 6.75' Box,37995,84166,Addison, TX,White,Unknown,0,1,Personal,15:13:34,"2021,11,04"
10012,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,33888,34065,Temecula, CA,White,Black,0,2,Personal,15:13:34,"2021,11,04"
10013,Nissan Rogue,Nissan,2018,SV AWD,22588,40326,Bronx, NY,Black,Black,0,1,Personal,15:13:34,"2021,11,04"
10014,Chevrolet Equinox,Chevrolet,2019,LT with 1LT FWD,17983,54968,Clarksville, TN,White,Black,0,1,Personal,15:13:34,"2021,11,04"
10015,Chevrolet Silverado 1500,Chevrolet,2018,LT Crew Cab Short Box 4WD,24999,104319,Smyrna, GA,White,Brown,0,2,Fleet,15:13:34,"2021,11,04"
10016,Nissan Rogue,Nissan,2016,S FWD,12000,80599,Houston, TX,Black,Black,0,2,Personal,15:13:34,"2021,11,04"
10017,Ram 1500,Ram,2019,"Big Horn/Lone Star Crew Cab 5'7"" Box 4WD",40000,23150,Battle Creek, MI,Blue,Black,0,1,Personal,15:13:34,"2021,11,04"
10018,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,34478,40732,Hicksville, OH,Black,Gray,0,2,Personal,15:13:34,"2021,11,04"
10019,Nissan Rogue,Nissan,2018,SV AWD,18990,37994,Bronx, NY,Black,Black,1,2,Personal,15:13:34,"2021,11,04"
10020,Ford F-150,Ford,2018,XL SuperCrew 5.5' Box 4WD,31500,52338,Norwalk, OH,Black,Black,0,2,Personal,15:13:34,"2021,11,04"
10021,Chevrolet Silverado 1500,Chevrolet,2018,LT Crew Cab Short Box 4WD,25000,107281,Cincinnati, OH,Red,Gray,0,2,Fleet,15:13:34,"2021,11,04"
10022,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,30995,102571,Culpeper, VA,White,Black,0,1,Personal,15:13:34,"2021,11,04"
10023,Volkswagen Jetta,Volkswagen,2019,S Automatic,15995,33000,Euless, TX,White,Black,0,1,Personal,15:13:34,"2021,11,04"
10024,Ford F-150,Ford,2017,XLT SuperCrew 5.5' Box 4WD,26990,113243,Grand Rapids, MI,White,Unknown,0,Personal,Personal,15:13:34,"2021,11,04"
10025,Nissan Sentra,Nissan,2019,S CVT,13490,57954,New Smyrna, FL,Silver,Black,1,2,Fleet,15:13:34,"2021,11,04"
10026,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,38491,25518,Lowell, MA,Black,Gray,0,1,Personal,15:13:35,"2021,11,04"
10027,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,36218,52808,Columbus, WI,Black,Black,0,1,Fleet,15:13:35,"2021,11,04"
10028,Toyota Corolla,Toyota,2020,LE CVT,20499,44100,San Diego, CA,White,Black,0,2,Personal,15:13:35,"2021,11,04"
10029,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 4WD,24990,153219,Tomball, TX,White,Gray,1,1,Personal,15:13:35,"2021,11,04"
10030,Toyota Corolla,Toyota,2019,LE CVT,12999,102003,Jacksonville, FL,Black,Unknown,2,2,Fleet,15:13:35,"2021,11,04"
10031,Toyota RAV4,Toyota,2018,XLE FWD,22998,31650,Miami, FL,Silver,Black,0,1,Personal,15:13:35,"2021,11,04"
10032,Mercedes-Benz C-Class,Mercedes-Benz,2018,C 300 Sedan RWD,28990,43166,Carlsbad, CA,White,Black,0,2,Personal,15:13:35,"2021,11,04"
10033,Ford Explorer,Ford,2018,XLT 4WD,27995,28600,Lumberton, NJ,Gray,Black,1,1,Personal,15:13:35,"2021,11,04"
10034,Ford Edge,Ford,2019,SEL AWD,25544,98913,Madison, WI,Silver,Black,0,1,Personal,15:13:35,"2021,11,04"
10035,Ford F-150,Ford,2018,XLT SuperCrew 5.5' Box 2WD,27800,107973,Charlotte, NC,White,Unknown,0,2,Fleet,15:13:35,"2021,11,04"
10036,Toyota RAV4,Toyota,2018,XLE FWD,22941,33633,Ocala, FL,Silver,Black,1,1,Personal,15:13:35,"2021,11,04"
10037,Nissan Rogue,Nissan,2018,SV AWD,22992,24969,Wappingers Falls, NY,Gray,Black,0,1,Personal,15:13:35,"2021,11,04"
10038,Chevrolet Malibu,Chevrolet,2018,LT with 1LT,20000,33342,San Diego, CA,White,Black,0,2,Personal,15:13:35,"2021,11,04"
